Station,Column1,Line,Grade,Opened[5],Ridership (2016[6]Avg. Weekday),Platforms,Parking Spaces[7],Terminal within fare-paid area,Transfers[8],Accessible,Latitude,Longitude
Dundas West,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"28,680",Side,0,Yes,BSicon CLRV.svg TTC streetcars,Yes,,
,Station,,,,,,,,BSicon BUS1.svg TTC buses,,,
,Station,,,,,,,,GO Transit logo.svg GO Kitchener logo.svg Kitchener,,,
,Station,,,,,,,,UP Express logo.svg Union Pearson Express,,,
Lansdowne,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"17,590",Side,0,No,BSicon BUS1.svg TTC buses,No,,
Dufferin,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"31,220",Side,0,No,BSicon BUS1.svg TTC buses,Yes,,
Ossington,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"25,920",Side,0,Yes,BSicon BUS1.svg TTC buses,Yes,,
Christie,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"14,740",Side,0,No,BSicon BUS1.svg TTC buses,No,,
Bathurst,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"29,320",Side,0,Yes,BSicon CLRV.svg TTC streetcars,Yes,,
,Station,,,,,,,,BSicon BUS1.svg TTC buses,,,
Bay,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"27,090",Centre,0,No,BSicon BUS1.svg TTC buses,No,,
Sherbourne,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"25,030",Side,0,No,BSicon BUS1.svg TTC buses,No,,
Castle Frank,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"8,520",Side,0,Yes,BSicon BUS1.svg TTC buses,No,,
Broadview,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"29,800",Side,0,Yes,BSicon CLRV.svg TTC streetcars,Yes,,
,Station,,,,,,,,BSicon BUS1.svg TTC buses,,,
Chester,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"6,690",Side,0,No,None,No,,
Pape,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"26,280",Side,0,Yes,BSicon BUS1.svg TTC buses,Yes,,
Donlands,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"10,080",Side,0,Yes,BSicon BUS1.svg TTC buses,No,,
Greenwood,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"10,390",Side,0,Yes,BSicon BUS1.svg TTC buses,No,,
Coxwell,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"15,620",Side,0,No[12],BSicon BUS1.svg TTC buses,Yes,,
Woodbine,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1966,"15,250",Side,0,Yes,BSicon BUS1.svg TTC buses,Yes,,
Main Street,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Underground,1968,"20,930",Side,0,Yes,BSicon CLRV.svg TTC streetcars,Yes,,
,Station,,,,,,,,BSicon BUS1.svg TTC buses,,,
,Station,,,,,,,,GO Transit logo.svg GO Lakeshore East logo.svg Lakeshore East,,,
,Station,,,,,,,,GO Transit logo.svg GO Stouffville logo.svg Stouffville,,,
Victoria Park,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Surface,1968,"31,460",Side,270,Yes,BSicon BUS1.svg TTC buses,Yes,,
Warden,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg,Surface,1968,"29,500",Centre,"1,092",Yes,BSicon BUS1.svg TTC buses,No,,
Kennedy,"Station, Toronto",TTC - Line 2 - Bloor-Danforth line.svg TTC - Line 3 - Scarborough RT line.svg,Underground/Elevated,"1980, 1985","101,030","Centre, Side (quasi-SS)","1,138",Yes,BSicon BUS1.svg TTC buses,Yes,,
,Station,,,,,,,,GO Transit logo.svg GO Stouffville logo.svg Stouffville,,,
Lawrence East,"Station, Toronto",TTC - Line 3 - Scarborough RT line.svg,Surface,1985,"7,850",Side,90,Yes,BSicon BUS1.svg TTC buses,No,,
Ellesmere,"Station, Toronto",TTC - Line 3 - Scarborough RT line.svg,Surface,1985,"1,760",Side,68,No,BSicon BUS1.svg TTC buses,No,,
Midland,"Station, Toronto",TTC - Line 3 - Scarborough RT line.svg,Elevated,1985,"2,370",Side,0,No,BSicon BUS1.svg TTC buses,No,,
Scarborough Centre,"Station, Toronto",TTC - Line 3 - Scarborough RT line.svg,Elevated,1985,"22,830",Side,0,Yes,BSicon BUS1.svg TTC buses,Yes,,
,Station,,,,,,,,GO Transit logo.svg Scarborough,,,
,Station,,,,,,,,Centre Bus Terminal[show],,,
McCowan,"Station, Toronto",TTC - Line 3 - Scarborough RT line.svg,Elevated,1985,"3,710",Side,0,No,BSicon BUS1.svg TTC buses,No,,
Bayview,"Station, Toronto",TTC - Line 4 - Sheppard line.svg,Underground,2002,"8,410",Centre,0,No,BSicon BUS1.svg TTC buses,Yes,,
Bessarion,"Station, Toronto",TTC - Line 4 - Sheppard line.svg,Underground,2002,"2,880",Centre,0,No,BSicon BUS1.svg TTC buses,Yes,,
Leslie,"Station, Toronto",TTC - Line 4 - Sheppard line.svg,Underground,2002,"6,200",Centre,102,Yes,BSicon BUS1.svg TTC buses,Yes,,
,Station,,,,,,,,GO Transit logo.svg GO Richmond Hill logo.svg Richmond Hill,,,
Don Mills,"Station, Toronto",TTC - Line 4 - Sheppard line.svg,Underground,2002,"32,310",Centre,366,Yes,BSicon BUS1.svg TTC buses,Yes,,
,,,,,,,,,York Region Transit logo.svg York Region Transit,,,
,,,,,,,,,Viva green.svg Viva Green,,,
